2026-09-11 21:11:36 | ERROR    | agents.retriever | Error embedding content (GoogleGenerativeAIError): Error embedding content (NOT_FOUND): 404 NOT_FOUND. {'error': {'code': 404, 'message': 'models/text-embedding-004 is not found for API version v1beta, or is not supported for embedContent. Call ModelService.ListModels to see the list of available models and their supported methods.', 'status': 'NOT_FOUND'}}
2026-09-11 21:11:36 | WARNING  | agents.retriever | Qdrant unavailable, using fallback: embedding error: Error embedding content (NOT_FOUND): 404 NOT_FOUND. {'error': {'code': 404, 'message': 'models/text-embedding-004 is not found for API version v1beta, or is not supported for embedContent. Call ModelService.ListModels to see the list of available models and their supported methods.', 'status': 'NOT_FOUND'}}
2026-09-11 21:11:37 | WARNING  | core.scorer | [Scorer] No Qdrant scores available — using penalty default 0.4
2026-09-11 21:12:00 | WARNING  | agents.retriever | ensure_collection failed: _ssl.c:1063: The handshake operation timed out
2026-09-11 21:12:00 | WARNING  | agents.retriever | Qdrant unavailable, using fallback: Failed to ensure collection
2026-09-11 21:12:06 | WARNING  | core.scorer | [Scorer] No Qdrant scores available — using penalty default 0.4
2026-09-11 21:18:28 | ERROR    | agents.retriever | Error embedding content (GoogleGenerativeAIError): Error embedding content (NOT_FOUND): 404 NOT_FOUND. {'error': {'code': 404, 'message': 'models/text-embedding-004 is not found for API version v1beta, or is not supported for embedContent. Call ModelService.ListModels to see the list of available models and their supported methods.', 'status': 'NOT_FOUND'}}
2026-09-11 21:18:28 | WARNING  | agents.retriever | Qdrant unavailable, using fallback: embedding error: Error embedding content (NOT_FOUND): 404 NOT_FOUND. {'error': {'code': 404, 'message': 'models/text-embedding-004 is not found for API version v1beta, or is not supported for embedContent. Call ModelService.ListModels to see the list of available models and their supported methods.', 'status': 'NOT_FOUND'}}
2026-09-11 21:18:30 | WARNING  | core.scorer | [Scorer] No Qdrant scores available — using penalty default 0.4
2026-09-11 21:18:44 | ERROR    | agents.retriever | Error embedding content (GoogleGenerativeAIError): Error embedding content (NOT_FOUND): 404 NOT_FOUND. {'error': {'code': 404, 'message': 'models/text-embedding-004 is not found for API version v1beta, or is not supported for embedContent. Call ModelService.ListModels to see the list of available models and their supported methods.', 'status': 'NOT_FOUND'}}
2026-09-11 21:18:44 | WARNING  | agents.retriever | Qdrant unavailable, using fallback: embedding error: Error embedding content (NOT_FOUND): 404 NOT_FOUND. {'error': {'code': 404, 'message': 'models/text-embedding-004 is not found for API version v1beta, or is not supported for embedContent. Call ModelService.ListModels to see the list of available models and their supported methods.', 'status': 'NOT_FOUND'}}
2026-09-11 21:18:55 | WARNING  | core.scorer | [Scorer] No Qdrant scores available — using penalty default 0.4
2026-09-11 21:20:11 | WARNING  | agents.retriever | ensure_collection failed: _ssl.c:1063: The handshake operation timed out
2026-09-11 21:20:11 | WARNING  | agents.retriever | Qdrant unavailable, using fallback: Failed to ensure collection
2026-09-11 21:20:38 | WARNING  | core.scorer | [Scorer] No Qdrant scores available — using penalty default 0.4
2026-09-11 21:23:24 | ERROR    | agents.retriever | Error embedding content (GoogleGenerativeAIError): Error embedding content (NOT_FOUND): 404 NOT_FOUND. {'error': {'code': 404, 'message': 'models/text-embedding-004 is not found for API version v1beta, or is not supported for embedContent. Call ModelService.ListModels to see the list of available models and their supported methods.', 'status': 'NOT_FOUND'}}
2026-09-11 21:23:24 | WARNING  | agents.retriever | Qdrant unavailable, using fallback: embedding error: Error embedding content (NOT_FOUND): 404 NOT_FOUND. {'error': {'code': 404, 'message': 'models/text-embedding-004 is not found for API version v1beta, or is not supported for embedContent. Call ModelService.ListModels to see the list of available models and their supported methods.', 'status': 'NOT_FOUND'}}
2026-09-11 21:23:25 | WARNING  | core.scorer | [Scorer] No Qdrant scores available — using penalty default 0.4
2026-09-11 22:03:31 | WARNING  | agents.retriever | Collection 'research_docs' has dim=768 but we need dim=3072. Deleting and recreating...
2026-09-11 22:08:45 | WARNING  | api.research_api | HITL timeout for thread f936745e-11f4-4f6e-ae7c-0cc76562a903
